Open,High,Low,Close,Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,RETURN,Target,RSI,EMA20,MACD,ATR,RANGE,VIX_CHANGE,MOMENTUM_3,MOMENTUM_5,NEXT_DAY_RETURN
8584.400390625,8605.5498046875,8516.349609375,8526.349609375,146800.0,20.690000534057617,22.1200008392334,18.59000015258789,22.020000457763672,0.0,-0.015552409736704,1,43.27964385893812,8653.625930939244,70.14996244436588,117.33381651899307,89.2001953125,0.0642822566155449,-0.02262234848964,-0.0308103268255071,0.0045975355349490155
8478.099609375,8646.25,8470.5,8565.5498046875,196200.0,22.020000457763672,22.020000457763672,19.850000381469727,21.190000534057617,0.0,0.004597535534949,2,46.37698355550961,8645.237728439079,54.82724251801665,121.50640105335071,175.75,-0.0376930021095172,-0.0167763338209961,-0.0218122438928806,0.007220854159723844
8603.2998046875,8651.9501953125,8593.650390625,8627.400390625,161600.0,21.190000534057617,21.51000022888184,18.540000915527344,20.5,0.0,0.0072208541597238,2,50.930067149607744,8643.538934361546,47.131400513550034,118.99882887989708,58.2998046875,-0.0325625538776468,-0.0038851426583748,-0.0110388714113817,0.009753739278629103
8676.9501953125,8732.5498046875,8599.25,8711.5498046875,158800.0,20.5,20.959999084472656,17.93000030517578,20.15999984741211,0.0,0.0097537392786291,2,56.35929538255191,8650.016160106876,47.277558463600144,120.02032715186871,133.2998046875,-0.0165853732969702,0.0217209244046088,-1.7263062505379345e-05,0.0107845558389561
8741.5,8822.099609375,8729.650390625,8805.5,221900.0,20.15999984741211,20.450000762939453,16.979999542236328,20.100000381469727,0.0,0.0107845558389561,1,61.4832319819674,8664.824144858601,54.34789655807072,119.34386126155668,92.44921875,-0.0029761640077633,0.0280134026167457,0.016678139321439,0.00043718237181300523
8831.400390625,8870.099609375,8793.400390625,8809.349609375,136400.0,20.100000381469727,21.1200008392334,17.479999542236328,20.82999992370605,0.0,0.000437182371813,2,61.68175972671341,8678.588474812545,59.57507733370221,116.29781536787404,76.69921875,0.036318384496615,0.0210896922029626,0.0331912263706419,0.006782566551384539
8811.5498046875,8894.2998046875,8808.900390625,8869.099609375,147600.0,20.82999992370605,21.649999618530277,18.649999618530277,20.90999984741211,0.0,0.0067825665513845,1,64.72118383665217,8696.732392389922,67.75791039342948,114.09078670320449,85.3994140625,0.0038406108496913,0.0180851637446559,0.0354384495577133,0.0029540986646272582
8883.0498046875,8913.4501953125,8794.4501953125,8895.2998046875,213300.0,20.90999984741211,21.90999984741211,19.399999618530277,20.399999618530277,0.0,0.0029540986646272,0,65.99492387870586,8715.6435745135,75.48683608744977,114.44144479583272,119.0,-0.0243902550264702,0.0101981494165577,0.0310521596231483,-0.006936269340802492
8895.5,8899.9501953125,8816.2998046875,8833.599609375,197600.0,20.399999618530277,21.270000457763672,19.239999771118164,21.270000457763672,0.0,-0.0069362693408024,0,60.45894929891012,8726.877482595548,75.76006045427675,112.2420837836304,83.650390625,0.0426471007599007,0.0027527571359176,0.0140101138630726,-0.008903438863023694
8856.849609375,8869.0,8736.099609375,8754.9501953125,139600.0,21.270000457763672,22.020000457763672,19.40999984741211,21.6299991607666,0.0,-0.0089034388630236,1,54.21580849785335,8729.551074282877,68.83673528421969,113.71767712944248,132.900390625,0.0169251854844942,-0.0128704625148012,-0.0057407080446879,0.0008166139044774035
